subject,level,obj_ID,point_value,x,y,new_x,new_y,time
48496,10,50,2,15,-15,15,-15,1480.7099609375
48496,10,44,2,15,-10,15,-10,1481.009033203125
48496,10,45,2,18.5,-10,18.5,-10,1481.0760498046875
48496,10,43,2,10,-10,10,-10,1482.0340576171875
48496,10,41,2,1.5,-10,1.5,-10,1482.7340087890625
48496,10,48,2,5,-15,5,-15,1483.134033203125
48496,10,51,2,10,-18.5,10,-18.5,1484.0760498046875
48496,10,40,2,12.5,-7.5,12.5,-7.5,1485.0760498046875
48496,10,37,2,10,-5,10,-5,1485.2760009765625
48496,10,39,2,7.5,-7.5,7.5,-7.5,1485.2939453125
48496,10,42,2,5,-10,5,-10,1485.593017578125
48496,10,46,2,7.5,-12.5,7.5,-12.5,1486.051025390625
48496,10,47,2,12.5,-12.5,12.5,-12.5,1486.47802734375
48496,10,44,2,15,-10,15,-10,1486.7340087890625
48496,10,38,2,15,-5,15,-5,1487.2099609375
48496,10,43,2,10,-10,10,-10,1488.135009765625
48496,10,50,2,15,-15,15,-15,1488.6920166015625
48496,10,35,2,10,-1.5,10,-1.5,1489.9759521484375
48496,10,17,2,15,6.5,15,6.5,1490.5770263671875
48496,10,14,2,10,10,10,10,1491.051025390625
48496,10,12,2,12.5,12.5,12.5,12.5,1491.176025390625
48496,10,9,2,15,15,15,15,1491.4090576171875
48496,10,6,2,17.5,17.5,17.5,17.5,1491.7099609375
48496,10,3,2,15,20,15,20,1492.009033203125
48496,10,2,2,10,20,10,20,1492.5760498046875
48496,10,7,2,6.5,15,6.5,15,1493.093017578125
48496,10,28,2,0,15,0,15,1493.9940185546875
48496,10,17,2,15,6.5,15,6.5,1495.9759521484375
48496,10,35,2,10,-1.5,10,-1.5,1496.7340087890625
48496,10,38,2,15,-5,15,-5,1497.2349853515625
48496,10,40,2,12.5,-7.5,12.5,-7.5,1497.333984375
48496,10,43,2,10,-10,10,-10,1497.574951171875
48496,10,46,2,7.5,-12.5,7.5,-12.5,1497.875
48496,10,48,2,5,-15,5,-15,1498.175048828125
48496,10,49,2,10,-15,10,-15,1498.3929443359375
48496,10,51,2,10,-18.5,10,-18.5,1498.509033203125
48496,10,50,2,15,-15,15,-15,1499.6090087890625
48496,10,47,2,12.5,-12.5,12.5,-12.5,1499.7760009765625
48496,10,42,2,5,-10,5,-10,1500.551025390625
48496,10,41,2,1.5,-10,1.5,-10,1500.7509765625
48496,10,36,2,5,-5,5,-5,1501.051025390625
48496,10,39,2,7.5,-7.5,7.5,-7.5,1501.093017578125
48496,10,44,2,15,-10,15,-10,1501.7919921875
48496,10,45,2,18.5,-10,18.5,-10,1502.112060546875
48496,10,38,2,15,-5,15,-5,1502.509033203125
48496,10,37,2,10,-5,10,-5,1502.9339599609375
48496,10,35,2,10,-1.5,10,-1.5,1503.1920166015625
48496,10,17,2,15,6.5,15,6.5,1503.9749755859375
48496,10,14,2,10,10,10,10,1504.3499755859375
48496,10,12,2,12.5,12.5,12.5,12.5,1504.635986328125
48496,10,9,2,15,15,15,15,1504.9339599609375
48496,10,6,2,17.5,17.5,17.5,17.5,1505.2340087890625
48496,10,3,2,15,20,15,20,1505.592041015625
48496,10,2,2,10,20,10,20,1506.009033203125
48496,10,7,2,6.5,15,6.5,15,1506.4759521484375
48496,10,8,2,10,15,10,15,1506.634033203125
48496,10,13,2,17.5,12.5,17.5,12.5,1507.25
48496,10,10,2,20,15,20,15,1507.4749755859375
48496,10,16,2,20,10,20,10,1507.7340087890625
48496,10,37,2,10,-5,10,-5,1509.2919921875
48496,10,39,2,7.5,-7.5,7.5,-7.5,1509.592041015625
48496,10,42,2,5,-10,5,-10,1509.875
48496,10,46,2,7.5,-12.5,7.5,-12.5,1510.1510009765625
48496,10,49,2,10,-15,10,-15,1510.4339599609375
48496,10,47,2,12.5,-12.5,12.5,-12.5,1510.7330322265625
48496,10,44,2,15,-10,15,-10,1511.0340576171875
48496,10,45,2,18.5,-10,18.5,-10,1511.3079833984375
48496,10,38,2,15,-5,15,-5,1511.8499755859375
48496,10,36,2,5,-5,5,-5,1512.696044921875
48496,10,48,2,5,-15,5,-15,1513.509033203125
48496,10,50,2,15,-15,15,-15,1514.3780517578125
48496,10,43,2,10,-10,10,-10,1514.79296875
48496,10,39,2,7.5,-7.5,7.5,-7.5,1515.2110595703125
48496,10,40,2,12.5,-7.5,12.5,-7.5,1515.2750244140625
48496,10,37,2,10,-5,10,-5,1515.633056640625
48496,10,35,2,10,-1.5,10,-1.5,1515.833984375
48496,10,17,2,15,6.5,15,6.5,1516.9090576171875
48496,10,15,2,15,10,15,10,1517.0340576171875
48496,10,13,2,17.5,12.5,17.5,12.5,1517.3349609375
48496,10,10,2,20,15,20,15,1517.6080322265625
48496,10,6,2,17.5,17.5,17.5,17.5,1517.8509521484375
48496,10,3,2,15,20,15,20,1518.1500244140625
48496,10,5,2,12.5,17.5,12.5,17.5,1518.3499755859375
48496,10,8,2,10,15,10,15,1518.6500244140625
48496,10,12,2,12.5,12.5,12.5,12.5,1519.009033203125
48496,10,9,2,15,15,15,15,1519.333984375
48496,10,14,2,10,10,10,10,1519.9329833984375
48496,10,35,2,10,-1.5,10,-1.5,1520.991943359375
48496,10,37,2,10,-5,10,-5,1521.2919921875
48496,10,39,2,7.5,-7.5,7.5,-7.5,1521.491943359375
48496,10,42,2,5,-10,5,-10,1521.7750244140625
48496,10,48,2,5,-15,5,-15,1522.2340087890625
48496,10,49,2,10,-15,10,-15,1522.574951171875
48496,10,47,2,12.5,-12.5,12.5,-12.5,1522.949951171875
48496,10,44,2,15,-10,15,-10,1523.251953125
48496,10,40,2,12.5,-7.5,12.5,-7.5,1523.592041015625
48496,10,43,2,10,-10,10,-10,1523.79296875
48496,10,41,2,1.5,-10,1.5,-10,1524.512939453125
48496,10,46,2,7.5,-12.5,7.5,-12.5,1525.175048828125
48496,10,50,2,15,-15,15,-15,1525.7919921875
48496,10,45,2,18.5,-10,18.5,-10,1526.217041015625
48496,10,38,2,15,-5,15,-5,1526.708984375
48496,10,37,2,10,-5,10,-5,1527.0169677734375
48496,10,39,2,7.5,-7.5,7.5,-7.5,1527.3089599609375
48496,10,42,2,5,-10,5,-10,1527.615966796875
48496,10,48,2,5,-15,5,-15,1528.050048828125
48496,10,49,2,10,-15,10,-15,1528.2769775390625
48496,10,47,2,12.5,-12.5,12.5,-12.5,1528.449951171875
48496,10,44,2,15,-10,15,-10,1528.7340087890625
48496,10,40,2,12.5,-7.5,12.5,-7.5,1528.9329833984375
48496,10,36,2,5,-5,5,-5,1529.592041015625
48496,10,41,2,1.5,-10,1.5,-10,1529.9749755859375
48496,10,46,2,7.5,-12.5,7.5,-12.5,1530.491943359375
48496,10,43,2,10,-10,10,-10,1531.092041015625
48496,10,38,2,15,-5,15,-5,1532.092041015625
48496,10,45,2,18.5,-10,18.5,-10,1532.634033203125
48496,10,49,2,10,-15,10,-15,1533.3079833984375
48496,10,48,2,5,-15,5,-15,1533.7919921875
48496,10,42,2,5,-10,5,-10,1534.2340087890625
48496,10,39,2,7.5,-7.5,7.5,-7.5,1534.510009765625
48496,10,37,2,10,-5,10,-5,1534.81005859375
48496,10,35,2,10,-1.5,10,-1.5,1535.1939697265625
48496,10,36,2,5,-5,5,-5,1535.7509765625
48496,10,46,2,7.5,-12.5,7.5,-12.5,1536.5340576171875
48496,10,47,2,12.5,-12.5,12.5,-12.5,1537.074951171875
48496,10,44,2,15,-10,15,-10,1537.3509521484375
48496,10,45,2,18.5,-10,18.5,-10,1537.6529541015625
48496,10,38,2,15,-5,15,-5,1537.967041015625
48496,10,40,2,12.5,-7.5,12.5,-7.5,1538.133056640625
48496,10,43,2,10,-10,10,-10,1538.3919677734375
48496,10,49,2,10,-15,10,-15,1538.8330078125
48496,10,51,2,10,-18.5,10,-18.5,1539.1109619140625
48496,10,42,2,5,-10,5,-10,1541.3179931640625
48496,10,39,2,7.5,-7.5,7.5,-7.5,1541.592041015625
48496,10,37,2,10,-5,10,-5,1542.133056640625
48496,10,36,2,5,-5,5,-5,1543.2330322265625
48496,10,40,2,12.5,-7.5,12.5,-7.5,1543.85302734375
48496,10,44,2,15,-10,15,-10,1544.1920166015625
48496,10,43,2,10,-10,10,-10,1544.3079833984375
48496,10,35,2,10,-1.5,10,-1.5,1544.75
48496,10,46,2,7.5,-12.5,7.5,-12.5,1545.449951171875
